sponsor_class,nct_id,brief_title,official_title,brief_summary,detailed_description,overall_status,why_stopped,start_date,completion_date,primary_completion_date,study_type,phases,allocation,intervention_model,masking,primary_purpose,enrollment_count,enrollment_type,interventions_json,interventions_types,interventions_names,is_success
INDUSTRY,NCT02881879,Clinical Trial With Subcutaneous Immunotherapy in Depot Presentation in Patients With Allergic Rhinoconjunctivitis Sensitized to House Dust Mites,"An Open, Multicenter Clinical Trial With Subcutaneous Immunotherapy in Depot Presentation in Patients With Allergic Rhinoconjunctivitis Sensitized to House","The aim of the study is to evaluate the safety and tolerability of subcutaneous immunotherapy (SCIT) with House Dust Mite (HDM) extract in patients with rhinoconjunctivitis with or without associated mild asthma and sensitized to HDM. In addition,surrogate efficacy parameters will be evaluated: immunoglobulin level changes and skin reactivity.

It will be recruited 50 patients susceptible to receive SCIT with HDM extract along 5 participating spanish sites.

Primary endpoint of the study is to assess the safety and tolerability of subcutaneous immunotherapy in depot presentation and quick pattern in patients with rhinoconjunctivitis with or without mild asthma sensitized to house dust mites

Secondary objective is to evaluate the indirect immunotherapy efficacy through the measurement of immunoglobulin level changes and cutaneous reactivity","The aim of present clinical trial is to go deeper into the safety of the vaccine of mixture of DPT and DF (50:50). Although this is the first clinical trial to date to be performed with this vaccine, there have been two clinical trials with the same formulation and DPT 100% as active ingredient( NºEudraCT: 2009-016277-15 and NºEudraCT: 2011-004583-30). Given that there is a remarkable cross-reactivity between the DPT and DF mites, the results of the two clinical trials conducted to date with subcutaneous depot vaccine with Dermatophagoides pteronyssinus 100% extract mite, are very significant",COMPLETED,,2016-07,2017-09,2017-09,INTERVENTIONAL,PHASE1,NA,SINGLE_GROUP,NONE,TREATMENT,43,ACTUAL,"[{""name"": ""Allergovac depot DPT/DF (50:50)"", ""type"": ""BIOLOGICAL"", ""description"": ""Subcutaneous immunotherapy in depot presentation in a rapid dose escalation scheme: 6 weekly dose increasing injections at the initiation phase plus 3 maintenance monthly injections"", ""mesh_terms"": [], ""other_ids"": []}]",BIOLOGICAL,allergovac depot dpt/df (50:50),1
OTHER,NCT06644079,Window of Opportunity Study of Topical Tranexamic Acid for Cutaneous Squamous Cell Carcinoma,Window of Opportunity Pilot Study of Topical Tranexamic Acid for Cutaneous Squamous Cell Carcinoma,"Tranexamic Acid (TXA) is a safe and effective antifibrinolytic drug used systemically to control bleeding and topically to treat melasma and rosacea. TXA suppresses the viability of multiple human/murine cancer cell lines and Plasmin formation, which prevents cleavage of the CDCP1 protein to a more oncogenic form. TXA appears to act through additional anticancer mechanisms that include reduction of S6K1 and STAT3 phosphorylation on sites required for their activation.

Uptake by cancer results in blockade of protein synthesis, and alter signaling through the amino acid-sensitive mTORC1/S6K1 and GCN2/eiF2a/ATF4 pathways. This is expected to induce autophagy, which may mediate some of the biological effects of TXA on cells. This effect of TXA is expected to be most prominent in cells that rely on high levels of basal protein synthesis such as cancer cells. Currently no clinical treatment in this space to spare or improve surgical outcomes.

Positive results could help reduce tumor size and suppress new cancer cell production before surgical interventions are taken. This treatment could improve the outcomes and treatments of people with skin cancer. If this window study is successful further studies will focus on patients with unresectable disease or those with lesions in areas difficult for surgical intervention.",,WITHDRAWN,Study not moving forward due to upcoming PI departure,2025-05,2026-04,2026-04,INTERVENTIONAL,PHASE2,NA,SINGLE_GROUP,NONE,TREATMENT,0,ACTUAL,"[{""name"": ""Tranexamic acid"", ""type"": ""DRUG"", ""description"": ""Participants will self-apply topical tranexamic acid to the area where their disease is located 3 times daily for 21-28 days prior to their scheduled Moh's or excision surgery."", ""mesh_terms"": [], ""other_ids"": []}]",DRUG,tranexamic acid,0
OTHER,NCT05505279,Ventilatory Effects of THRIVE During EBUS,Does High Flow Nasal Canula (HFNC) Prevent Hypercapnia During EBUS Under Procedural Sedation?,"High flow nasal cannula (HFNC) is used in interventional procedures to prevent hypoxia during sedation. In patients with a patent airway, HFNC reduces dead space ventilation as well. It is unknown if dead space ventilation is also reduced by HFNC in an EndoBroncheal UltraSound procedure, in which the airway is partially blocked by the endoscope. Especially in patients with Chronic Obstructive Pulmonary Disease (COPD) the partial blocking of the airway may reduce ventilation. If HFNC is able to reduce dead space during an EBUS-procedure, it may facilitate CO2 clearance, which may lead to a reduction in work of breathing.

This study aims to investigate if HFNC reduces dead space ventilation in patients undergoing an EBUS-procedure and if this is flow-dependent.

A randomized, double-blinded, cross-over study is designed.",,COMPLETED,,2022-10-05,2024-08-08,2024-08-08,INTERVENTIONAL,PHASE3,RANDOMIZED,CROSSOVER,TRIPLE,SUPPORTIVE_CARE,20,ACTUAL,"[{""name"": ""THRIVE (High Flow Nasal Cannula)"", ""type"": ""DEVICE"", ""description"": ""2 different rates of nasal flow compared to each other and a baseline of level of nasal oxygen"", ""mesh_terms"": [], ""other_ids"": []}]",DEVICE,thrive (high flow nasal cannula),1
OTHER,NCT03232879,Combining Motor Imagery With Action Observation Does Not Lead to a Greater Autonomic Response Than Motor Imagery Alone During Simple and Functional Movements: a Randomized Controlled Trial.,Combining Motor Imagery With Action Observation Does Not Lead to a Greater Autonomic Response Than Motor Imagery Alone During Simple and Functional Movements: a Randomized Controlled Trial.,"The main objective of this study was to compare the activation of the Sympathetic Nervous System in a program that combined Motor Imagery with Action Observation, in contrast to an isolated Motor Imagery program on the one hand in asymptomatic subjects and in the other hand in patients with chronic low back pain.","Motor Imagery (MI) is defined as a dynamic mental process that involves the representation of an action, in an internal way, without its actual motor execution. The Action Observation (AO) evokes an internal, real-time motor simulation of the movements that the observer is perceiving visually. Both mental processes trigger the activation of the neurocognitive mechanisms that underlie the planning and execution of voluntary movements in a manner that resembles how the action is performed in a real manner.

Both observation and imagination share a great number of common mental processes based primarily on sensory perception, and the information stored by memory systems. The activation of the motor command during a mental practice does not induce an active movement probably due to an inhibitory mechanism in the primary motor cortex on the descending corticospinal tract pathways. However, this inhibition is not complete, for it is well known that the training of mental practice involves a component of the autonomic nervous system (ANS).

It has been shown that both MI and AO lead to changes in the ANS that cause excitatory sympathetic responses, although the neurophysiological bases remain uncertain and are still based on hypotheses. The functional relations between both neurocognitive processes and the sympathetic-excitatory nervous system (SNS) could be based on a preparation phase in which, the activation of the SNS, happens to a near effort and, therefore, to a close energy expenditure in physiological processes (i.e., cardiorespiratory adaptationse) which will take place in order to face said metabolic changes produced by the voluntary movement itself. In addition, several hypotheses have been described regarding the notion that the SNS not only has the quantitative objective of providing energy to the muscle effectors, but that it also qualitatively and specifically designs and adapts the parameters on demand in an attempt to save the energy provided for each precise motor execution.

Taking into account that both MI and AO cause sympathetic-excitatory changes that induce an increase in heart rate, blood pressure, respiratory rate, electrodermal activity , our hypothesis is that the combination of MI and AO induces an autonomic sympathetic-excitatory shift greater than MI does in isolation. Therefore, the main objective of this study was to compare the results obtained from intervention groups on the subject of the activation of the SNS in a program that combined MI with AO, in contrast to an isolated MI program on the one hand in asymptomatic subjects and in the other hand in patients with chronic low back pain.. The secondary objective of the present study was to explore whether there is any relationship between the sympathetic-excitatory response and the ability to generate motor imagery, the mental chronometry, and the level of physical activity.",COMPLETED,,2017-01-30,2017-06-30,2017-04-10,INTERVENTIONAL,NA,RANDOMIZED,PARALLEL,NONE,BASIC_SCIENCE,45,ACTUAL,"[{""name"": ""Motor Imagery"", ""type"": ""BEHAVIORAL"", ""description"": ""Two consecutive 30 seconds imagery tasks were performed, both based on two movements that are recorded in the Revised Movement Imagery Questionnaire (MIQ-R)."", ""mesh_terms"": [], ""other_ids"": []}, {""name"": ""Action Observation"", ""type"": ""BEHAVIORAL"", ""description"": ""Two consecutive 30 seconds imagery tasks were performed, both based on two movements that are recorded in the Revised Movement Imagery Questionnaire (MIQ-R). Before the subjects performed the mental MI practice, they were presented with a 30 seconds video that displayed the task that they ought to imagine later. A video was played prior to the first practice of imagination and after the second mental practice, a second video was shown."", ""mesh_terms"": [], ""other_ids"": []}]",BEHAVIORAL;BEHAVIORAL,motor imagery;action observation,1
OTHER,NCT02326779,Low-dose Aspirin Therapy for Esophageal Cancer,"Low-dose Aspirin Therapy for Stage II-III Esophageal Cancer- A Multi-Center, Open Label, Randomized Controlled Phase III Trial",The aim of this study is to evaluate the survival benefit of low-dose aspirin use for stage II-III esophageal cancer patients.,"The investigators aimed to evaluate the hypothesis that low-dose aspirin can improve survival in stage II-III esophageal cancer patients, and to evaluate whether this effect is influenced by PIK3CA, KRAS, BRAF mutation and COX-2 expression. Eligible participants will be randomized to either aspirin treatment arm (100 mg aspirin OD for 3 years), or non-aspirin user arm in 1:1 ratio. After randomization, participants will receive 3 monthly assessments during treatment and follow-up.",WITHDRAWN,The study could not be performed.,2016-03,2018-12,2018-10,INTERVENTIONAL,PHASE3,RANDOMIZED,PARALLEL,NONE,TREATMENT,0,ACTUAL,"[{""name"": ""Acetylsalicylic acid"", ""type"": ""DRUG"", ""description"": ""Acetylsalicylic acid (Aspirin) 100 mg OD for 3 years"", ""mesh_terms"": [], ""other_ids"": []}]",DRUG,acetylsalicylic acid,0
OTHER_GOV,NCT04132479,The Epidemiology and Optimal Treatment of Helicobacter Pylori in Myanmar,Sequential Helicobacter Pylori Eradication Therapy in Myanmar; a Randomized Clinical Trial of Efficacy and Tolerability,"This study aims to:

1. Determine the prevalence of Helicobacter infection in Myanmar (this would be the largest ever series in the country)
2. Determine the clinical and epidemiological associations of Helicobacter infection in Myanmar
3. Determine the utility of stool antigen testing to diagnose the infection and confirm eradication
4. Compare the relative efficacies of concomitant and sequential therapy
5. Determine the relative efficacies of first, second and third line therapies in Myanmar in 2018","There are very few published studies to examine the prevalence of Helicobacter infection in Myanmar. Two previous studies (both \< 400 participants) suggested that the prevalence was approximately 50% (Myint WJG 2015, Aye MMJ 2015).

The high prevalence of H.pylori is important because gastric adenocarcinoma is the fourth most common cancer in the country (WHO 2014). Gastric cancer has an almost uniformly dismal 5-year survival rates in this resource-limited country and is estimated to kill almost 5000 patients per year in Myanmar (WHO 2014).

In addition, anecdotally there is a significant associated burden of peptic ulcer disease in the country, although there are few published data to examine the issue.

Strategies to diagnose and eradicate H.pylori must be considered in the context that the annual per capita health budget is USD103 (World Bank 2016).

Therapeutic regimens must also consider the issue of antimicrobial resistance, which varies from country to country. There are very few data from Myanmar to guide us and those that are available vary enormously.

In vitro antibiotic resistance by agent

Amoxycillin 0%, 8%, 7%

Metronidazole 33%, 54%,100%

Clarithromycin 0%, 13%, 50%

Levofloxacin 6%, NR, 3%

Tetracycline 0%, NR, NR

Ciprofloxacin 6%, NR NR

Studies: Mahachai 2012, Aye 2005, Aye 2014

However, it is also known that in vitro resistance does not necessarily translate into in vivo failure. Furthermore in a resource poor setting like Myanmar, a strategy of susceptibility guided treatment is not feasible. Indeed, this is not likely to be cost-effective in even wealthy countries (ACG guidelines 2017 and Maastricht consensus guidelines 2017).

The current first line therapy for H.pylori in Myanmar is 10-14 days of concomitant bd PPI + bd Clarithromycin + bd Amoxycillin + bd metronidazole. This regimen contains up to 126 pills (14 days) and costs up to USD16 (14 days). It is likely that 14 days of 4 drug therapy will generate issues with side effects and adherence, although again this has not been examined locally.

Alternatively, a 10-day sequential regimen of 5 days of bd PPI + Amoxycillin, then 5 days of bd PPI + Clarithromycin and Tinidazole reduces the pill load to 50 pills and the total drug cost to USD6. This regimen has been shown to be highly effective in Slovenia (94.2%), Portugal (90%), Belgium (90%), Israel (95.9%), Thailand (94%), Taiwan (91.9%), Singapore (90.3%), and the United Arab Emirates (88.6%) (Review, De Francesco 2017).

A sequential regimen has been shown to have less satisfactory success rates in Greece , Spain, Ireland, Turkey, Iran, Korea, China, and Puerto Rico (although in many of these studies, metronidazole was used instead of tinidazole (Review, De Francesco 2017)).

The current second-line regimen in Myanmar is 10-14 days of bd PPI + Levofloxacin + Amoxycillin (pill load 80 pills for 10 days, total cost USD3). In this era of evolving drug resistance, we may not want to use quinolones as first line therapy however.

The current third line therapy is Bismuth based quadruple therapy (BQT). This regimen is comprised of Bismuth + PPI + Tetracycline + Tinidazole (pill load 120 pills, total cost USD50)

The proposed study aims to demonstrate that a 10-day course of sequential therapy is not inferior to 14 days of 4 drug concomitant therapy. Assuming a cure rate of 80% for Concomitant 4 drug therapy, and an inferiority bound of 10%, the sample size is 626 (313 patients in each arm). To identify 626 patients, we will need to screen approximately 1250 patients. In this resource-poor setting, diagnosis will be established using monoclonal stool antigen testing (SAT BioMerieux BioNexia). Patients who test positive with SAT will be randomised 1:1 in an open label study to either a 10-day course of sequential therapy or the current first line regimen of concomitant 4 drug therapy. Four weeks after completing therapy, eradication will be confirmed with repeat SAT.

Those patients failing the first line therapy would then receive second line levofloxacin and then tested to confirm eradication. This would determine the efficacy of the country's current second line therapy.

Finally, patients failing first and second line therapy would receive the more involved and expensive third line therapy. Once again, this would determine the efficacy of third line therapy.

To ensure all participants had their H.pylori infection eradicated, those failing three lines of therapy would be offered endoscopy and culture directed therapy.

The performance of the stool antigen test is affected by the PPI therapy, so the study can't easily enrol patients presenting with acute symptoms who will frequently have already been taking PPI therapy (higher rate of false negatives). Therefore, the study will enrol outpatients about to commence aspirin, NSAIDs or anticoagulants (in whom the risk of GI bleeding is higher) or patients with a personal history of peptic ulcer disease or family history of gastric cancer. These are all indications for H.pylori testing (ACG guidelines 2017 and Maastricht consensus guidelines 2017).

Outputs

1. The prevalence of H.pylori in Yangon, Myanmar
2. Clinical and demographic associations of H.pylori infection in Myanmar
3. Efficacy of

   1. Current first line therapy: 14 days of concomitant PPI + amoxy + clari + metro
   2. Alternative: 10 days of sequential PPI + amoxy + clari + Tinidazole
   3. Current second line therapy: 14 days of PPI + Levo + Amoxy
   4. Current third line therapy: 14 days of Bismuth + PPI + tetracycline + metro (BQT)
4. Acceptability - to patients and staff - of stool antigen testing for H.pylori screening and for confirming eradication.",COMPLETED,,2018-01-01,2019-04-09,2018-12-31,INTERVENTIONAL,PHASE4,RANDOMIZED,PARALLEL,NONE,TREATMENT,313,ACTUAL,"[{""name"": ""Clarithromycin 500mg"", ""type"": ""DRUG"", ""description"": ""1000mg taken orally every 12 hours for 5 days"", ""mesh_terms"": [], ""other_ids"": []}, {""name"": ""Amoxicillin 500mg"", ""type"": ""DRUG"", ""description"": ""1000mg taken orally every 12 hours for 5 days"", ""mesh_terms"": [], ""other_ids"": []}, {""name"": ""Tinidazole 500mg"", ""type"": ""DRUG"", ""description"": ""500mg taken orally every 12 hours for 5 days"", ""mesh_terms"": [], ""other_ids"": []}, {""name"": ""Rabeprazole 20mg"", ""type"": ""DRUG"", ""description"": ""20mg taken orally every 12 hours for 5 days"", ""mesh_terms"": [], ""other_ids"": []}, {""name"": ""Clarithromycin 500mg"", ""type"": ""DRUG"", ""description"": ""1000mg taken orally every 12 hours for 14 days"", ""mesh_terms"": [], ""other_ids"": []}, {""name"": ""Amoxicillin 500mg"", ""type"": ""DRUG"", ""description"": ""1000mg taken orally every 12 hours for 14 days"", ""mesh_terms"": [], ""other_ids"": []}, {""name"": ""Tinidazole 500mg"", ""type"": ""DRUG"", ""description"": ""500mg taken orally every 12 hours for 14 days"", ""mesh_terms"": [], ""other_ids"": []}, {""name"": ""Rabeprazole 20mg"", ""type"": ""DRUG"", ""description"": ""20mg taken orally every 12 hours for 14 days"", ""mesh_terms"": [], ""other_ids"": []}]",DRUG;DRUG;DRUG;DRUG;DRUG;DRUG;DRUG;DRUG,clarithromycin 500mg;amoxicillin 500mg;tinidazole 500mg;rabeprazole 20mg;clarithromycin 500mg;amoxicillin 500mg;tinidazole 500mg;rabeprazole 20mg,1
NIH,NCT04827979,Daratumumab and Belatacept for Desensitization,A Mechanistically Driven Therapy to Desensitize >98.0% cPRA Patients: Depletion of Plasma Cells With Anti-CD38 and Prevention of B Cell Activation With Costimulation Blockade (ITN090ST),"Some kidney transplant candidates have a very low chance of getting a kidney transplant because their immune systems are ""highly sensitized"" to most kidney donors. Being ""highly sensitized"" means that they will likely have to wait a long time (more than 5 years) before an acceptable donor is found for them or, they never receive a compatible donor, and die on waitlist. The purpose of this study is to find out whether two drugs, daratumumab (Darzalex®), and belatacept (Nulojix®), can make these kidney transplant candidates less sensitized, and make it easier and quicker to find a kidney donor for them.","This study will enroll 15 eligible adult participants with end stage renal failure on dialysis who are on the waiting list for a deceased donor transplant with calculated panel reactive antibodies (cPRA) ≥99.9% or \>98% (with \>5 years of waiting time) or, those with cPRA \>98% and an human leukocyte antigen (HLA)-incompatible approved living donor who have not received a transplant after 1 year in a paired kidney exchange program. The study will evaluate whether the study treatment is safe and can lower the participant's immune system's sensitization to kidney donors, making it easier to find a well-matched kidney for them.

The study treatment is comprised of two drugs, Darzalex® (daratumumab) and Nulojix® (belatacept). Daratumumab is licensed for treatment of multiple myeloma and belatacept is licensed for prevention of rejection after kidney transplant. Eligible participants will receive infusions of daratumumab and belatacept over a 10-week period in Cohort 1. Eligible participants will receive infusions of daratumumab and belatacept over a 14-week period in Cohort 2. An interim safety and efficacy analysis will occur after the first 5 participants have received study treatment. All subjects will undergo HLA antibody assessments and bone marrow aspiration prior to and after completion of treatment and receive 42 weeks of follow up after completing treatment. Participants who prematurely discontinue study therapy will receive follow up through 56 weeks after their baseline visit. Subjects who receive a kidney transplant while in the study will receive standard of care immunosuppression and undergo 52 weeks of follow up. Living donors will participate for one study visit to provide blood collection.",RECRUITING,,2021-11-01,2028-04-30,2027-03-31,INTERVENTIONAL,PHASE1|PHASE2,NON_RANDOMIZED,SEQUENTIAL,NONE,TREATMENT,15,ESTIMATED,"[{""name"": ""daratumumab"", ""type"": ""BIOLOGICAL"", ""description"": ""Daratumumab is a CD38 (Cluster of Differentiation 38)-directed cytolytic monoclonal antibody indicated for the treatment of multiple myeloma. In this study, daratumumab will be used in highly sensitized subjects without myeloma who are awaiting a kidney transplant.\n\nDefinition of highly sensitized: Potential kidney transplant recipients with either:\n\n* calculated panel reactive antibodies (cPRA) ≥99.9% awaiting deceased donor transplant, or\n* cPRA \\>98% (with \\>5 years of waiting time) awaiting living donor transplant"", ""mesh_terms"": [], ""other_ids"": []}, {""name"": ""belatacept"", ""type"": ""BIOLOGICAL"", ""description"": ""Belatacept, a monoclonal antibody, is indicated for the prophylaxis of organ rejection in adult patients receiving a kidney transplant. In this study, belatacept will be used in subjects who have not received a kidney transplant."", ""mesh_terms"": [], ""other_ids"": []}, {""name"": ""Bone marrow aspiration"", ""type"": ""PROCEDURE"", ""description"": ""Subjects will undergo a bone marrow aspiration prior to starting the study regimen and at 12 weeks after starting the study regimen. In subjects who undergo a kidney transplant during the study, another bone marrow aspiration will be done if it has been \\>4 weeks since the previous bone marrow aspiration."", ""mesh_terms"": [], ""other_ids"": []}]",BIOLOGICAL;BIOLOGICAL;PROCEDURE,daratumumab;belatacept;bone marrow aspiration,0
INDUSTRY,NCT03291379,Vandetanib-eluting Radiopaque Embolic Beads in Patients With Resectable Liver Malignancies,VEROnA: A Window of Opportunity Study of Vandetanib-eluting Radiopaque Embolic Beads (BTG-002814) in Patients With Resectable Liver Malignancies,"This is a pilot, open label single arm phase 0 window of opportunity study of vandetanib-eluting radiopaque beads in patients with resectable liver malignancies.",A pilot open-label single arm multicenter phase 0 window of opportunity study of BTG-002814 given up to 3 weeks prior to surgery in up to 12 patients with resectable Hepatocellular carcinoma (HCC) or Colorectal cancer (CRC) with liver metastases.,COMPLETED,,2017-05-17,2019-08-03,2019-08-03,INTERVENTIONAL,EARLY_PHASE1,NA,SINGLE_GROUP,NONE,TREATMENT,8,ACTUAL,"[{""name"": ""BTG-002814"", ""type"": ""DRUG"", ""description"": ""BTG-002814 containing 100 mg vandetanib"", ""mesh_terms"": [], ""other_ids"": []}]",DRUG,btg-002814,1
OTHER,NCT02188979,GlideScope With EGRI Assessment in Obese Patients,GlideScope Videolaryngoscopy and Pre-Operative Assessment of El-Ganzouri Risk Index for Tracheal Intubation in Morbidly Obese Patients The Prospective Observational GLOBE Study,"BACKGROUND Unpredicted difficult tracheal intubation (DTI) with Macintosh laryngoscopy occurs frequently in obese patients. We investigated the incidence of DTI using the GlideScope® videolaryngoscope (GVL) with an algorithm based on a pre-operative assessment with the El Ganzouri Risk Index (EGRI).

METHODS We prospectively enrolled morbidly obese patients (BMI\>40 kg/m2) undergoing abdominal surgery. Patients were scheduled for flexible fibre optic bronchoscopic intubation (FFBI) or GVL intubation if the EGRI score was ≥7 or \<7, respectively. The primary outcome was the occurrence of DTI that was defined as Cormack and Lehane (C\&L) grades ≥III, Intubation Difficulty Scale (IDS)\>5 and modified IDS (mIDS)\>5. A numeric rating scale (NRS) was also used. Secondary outcomes included intubation success during the first attempt, the time to Cormack (TTC), the time to intubation (TTI), failure to intubate, oxygen desaturation and difficult ventilation.","The EGRI, a multivariate risk index that combines seven variables associated with DTI, was evaluated in all patients during the pre-anaesthesia visit. The results were reported in the clinical chart. All tracheal intubations in obese patients needing surgery were routinely performed using GVL. The intubations were performed or assisted by five board-certified anaesthesiologists who had prior experience with at least 20 GVL intubations, as well as at least two years of experience with anaesthesia in obese patients. In cases where the GVL intubation was performed by anaesthesiologists that were in training, the GVL expert was actively advising the operator during all of the intubating procedures. The standard equipment included a GVL with blade number three to five and an orotracheal hockey stick tube with a malleable single-use stylet (Fr 14, Intubating Stylet, DEAS). The standard anaesthesia induction started with 3-5 minutes of pre-oxygenation using 5 cm H2O PEEP in a 30° head-up position, as well as induction with fentanyl 3 μg kg -1 (LBW), propofol 2-3 mg kg -1 (LBW) and suxamethonium 1 mg Kg -1 (TBW). When spontaneous respiration ceased, the patient was mask ventilated with 100% oxygen. The tube was lubricated and advanced into the mouth under direct visual guidance to avoid complications, and then, under indirect visual guidance using the GVL monitor. The correct placement of the cuffed tube was verified using a capnograph and a stethoscope. The tube sizes were 7.0 for women and 7.5 for men. Each patient was monitored using an electrocardiogram, non-invasive arterial blood pressure measurement, and pulse oximetry before both tracheal intubation and anaesthesia induction. The basic demographic data and airway characteristics necessary to evaluate the primary outcome and to calculate the EGRI score were registered prior to anaesthesia. Patients with an EGRI score of 7 or higher were scheduled for elective fibre optic flexible bronchoscopic intubation (FFBI), while patients with an EGRI score of less than 7 underwent anaesthesia induction and GVL intubation, according to a predefined algorithm",COMPLETED,,2012-03,2014-04,2014-04,OBSERVATIONAL,unknown,,,,,195,ACTUAL,[],,,1
OTHER,NCT06299579,GD-11 for Injection in the Treatment of Acute Ischemic Stroke,Phase III Clinical Trial of GD-11 for Injection in the Treatment of Acute Ischemic Stroke,"Phase III Clinical Trial of GD-11 for Injection in the Treatment of Acute Ischemic Stroke - A Multi-Center, Randomized, Double-Blind, Parallel, Placebo-Controlled Phase III Clinical Study with the primary objective of evaluation of the efficacy and safety of GD-11 for injection in the treatment of acute ischemic stroke patients within 48 hours. The subject has a clinical diagnosis of acute ischemic stroke, within 48 hours from stroke onset to start of study treatment, with a National Institutes of Health Stroke Scale (NIHSS) between 6 and 20, had a total score of upper and lower limbs on motor deficits ≥ 2. The primary outcome is the proportion of subjects with mRS score ≤ 1 at 90 days after treatment.","A multicenter, randomized, double-blind, parallel, placebo-controlled trial design was used. Subjects were randomly assigned in a 1:1 ratio to the experimental group (GD-11 for injection treatment group) and the control group (GD-11 for injection placebo group). Randomization stratification factors included onset time (≤24 hours, \>24 hours) and center.Continuous treatment was performed for 10 days (20 times), followed up to 90 days after the first administration.

The trial was divided into three phases: screening/baseline phase, treatment phase, and follow-up phase.

Screening/baseline phase: Subjects entered the screening/baseline phase after signing the informed consent for screening examinations.

Treatment phase: Eligible subjects were randomly assigned in a 1:1 ratio to receive GD-11 for injection or placebo for injection for 10 days (20 times). During the treatment, protocol-required examinations were performed and safety was evaluated.

Follow-up phase: Subjects who completed the treatment entered the follow-up phase and were followed up to 90 days after the first administration.

Stroke-related scale scores were performed on the 10th, 30th, and 90th days after the first use of the test drug. Adverse events were recorded during the treatment and follow-up phases to further evaluate safety.",RECRUITING,,2024-02-29,2025-12-31,2025-02-22,INTERVENTIONAL,PHASE3,RANDOMIZED,PARALLEL,TRIPLE,TREATMENT,980,ESTIMATED,"[{""name"": ""GD-11 for injection test group"", ""type"": ""DRUG"", ""description"": ""The first dose of GD-11 was administered as soon as possible after randomization and then every 12±1 hour. A total of 20 doses were required."", ""mesh_terms"": [], ""other_ids"": []}, {""name"": ""Placebo control group"", ""type"": ""DRUG"", ""description"": ""The first dose of placebo was administered as soon as possible after randomization and then every 12±1 hour. A total of 20 doses were required."", ""mesh_terms"": [], ""other_ids"": []}]",DRUG;DRUG,gd-11 for injection test group;placebo control group,0
OTHER,NCT06338579,Overview of Self-medication Among French Navy Personnel,Overview and Determinants of Self-medication Among Personnel Deployed on French Navy Surface Ships,"The goal of this cross-sectional descriptive observational study is to assess the extent of self-medication among the crews of surface ships at the Toulon naval base. This study could include healthy volunteers, or participants with well-controlled chronic pathologies enabling them to be fit for embarkation, who are currently being deployed for at least 4 weeks on a surface ship at the naval base.

Participants will tick and complete a questionnaire (between 15 and 30 minutes) after 4 consecutive weeks on the ship.",,NOT_YET_RECRUITING,,2024-04,2026-04,2026-03,OBSERVATIONAL,unknown,,,,,800,ESTIMATED,"[{""name"": ""Questionnaire"", ""type"": ""OTHER"", ""description"": ""A questionnaire is distributed and self-administered 4 weeks before the start of an embarked mission on a surface ship at the Toulon naval base, during an embarked mission of at least 4 weeks.\n\nThe questionnaire consists of 2 parts:\n\n* A section on socio-demographic characteristics\n* A section on self-medication practices during this deployment"", ""mesh_terms"": [], ""other_ids"": []}]",OTHER,questionnaire,0
