nct_id,overall_status,phase,intervention_names,condition_mesh,study_type,sponsor,enrollment_count,start_date,completion_date,primary_completion_date,gender,min_age,max_age,allocation,masking
NCT04727879,COMPLETED,NA,,,INTERVENTIONAL,,20.0,2021-04-07,2022-08-13,2022-07-13,,50 Years,,NON_RANDOMIZED,NONE
NCT06155279,RECRUITING,PHASE2,,,INTERVENTIONAL,,40.0,2024-11-06,2027-03,2026-03,,18 Years,,NA,NONE
NCT06865079,RECRUITING,PHASE2,,,INTERVENTIONAL,,270.0,2025-05-09,2027-06-15,2027-05-25,,50 Years,80 Years,RANDOMIZED,QUADRUPLE
NCT00387179,UNKNOWN,NA,,,INTERVENTIONAL,,48.0,2006-10,2010-03,2010-03,,18 Years,40 Years,RANDOMIZED,DOUBLE
NCT06021379,COMPLETED,,,,OBSERVATIONAL,,597.0,2017-02-22,2022-08-28,2022-08-28,,,,,
NCT03764579,UNKNOWN,NA,,,INTERVENTIONAL,,120.0,2018-11-29,2020-11-29,2019-11-29,,7 Years,14 Years,RANDOMIZED,SINGLE
NCT05333679,ACTIVE_NOT_RECRUITING,NA,,,INTERVENTIONAL,,200.0,2022-03-02,2025-06-30,2025-06-30,,18 Years,,RANDOMIZED,NONE
NCT06619379,NOT_YET_RECRUITING,NA,,,INTERVENTIONAL,,200.0,2024-11-01,2026-03-01,2025-12-31,,20 Years,40 Years,RANDOMIZED,NONE
NCT03397979,COMPLETED,NA,,,INTERVENTIONAL,,63.0,2011-11-14,2017-03-21,2016-04-07,,6 Months,11 Years,RANDOMIZED,TRIPLE
NCT07001579,COMPLETED,,,,OBSERVATIONAL,,390.0,2022-04-01,2024-08-26,2023-03-14,,18 Years,,,
NCT05220579,COMPLETED,NA,,,INTERVENTIONAL,,236.0,2020-12-29,2021-08-12,2021-08-12,,18 Years,,RANDOMIZED,QUADRUPLE
NCT03147079,COMPLETED,NA,,,INTERVENTIONAL,,1354.0,2011-01-01,2017-12-31,2013-12-31,,,,NON_RANDOMIZED,NONE
NCT04527679,UNKNOWN,PHASE2,,,INTERVENTIONAL,,40.0,2020-10,2022-12,2021-06,,18 Years,75 Years,NA,NONE
NCT03555279,COMPLETED,NA,,,INTERVENTIONAL,,218.0,2017-03-13,2021-05-26,2021-04-05,,13 Years,17 Years,RANDOMIZED,NONE
NCT04419779,SUSPENDED,NA,,,INTERVENTIONAL,,320.0,2021-03-08,2026-01,2025-06,,21 Years,70 Years,RANDOMIZED,QUADRUPLE
NCT05584579,COMPLETED,,,,OBSERVATIONAL,,793.0,2017-04-01,2022-04-01,2020-04-01,,18 Years,,,
NCT01908179,UNKNOWN,,,,OBSERVATIONAL,,100.0,2013-01,,2015-07,,19 Years,80 Years,,
NCT06720779,RECRUITING,NA,,,INTERVENTIONAL,,20.0,2024-06-05,2025-07-05,2025-06-05,,18 Years,85 Years,RANDOMIZED,NONE
NCT01337479,COMPLETED,,,,OBSERVATIONAL,,1097.0,2003-02,2010-09,2010-09,,,,,
NCT05202379,COMPLETED,PHASE1,,,INTERVENTIONAL,,80.0,2022-02-11,2023-03-29,2023-03-29,,18 Years,55 Years,RANDOMIZED,QUADRUPLE
NCT02056379,UNKNOWN,NA,,,INTERVENTIONAL,,70.0,2014-03,2016-03,2015-03,,1 Month,19 Years,RANDOMIZED,QUADRUPLE
NCT00955279,COMPLETED,PHASE2,,,INTERVENTIONAL,,173.0,2009-11,2012-08,2012-05,,18 Years,85 Years,RANDOMIZED,QUADRUPLE
NCT02511379,TERMINATED,NA,,,INTERVENTIONAL,,14.0,2015-11-26,2016-06-20,2016-06-20,,18 Years,65 Years,NA,NONE
NCT01230879,TERMINATED,NA,,,INTERVENTIONAL,,101.0,2009-07-15,2012-08,2012-08,,60 Years,95 Years,NON_RANDOMIZED,NONE
NCT05362279,UNKNOWN,NA,,,INTERVENTIONAL,,70.0,2022-05-10,2022-08-10,2022-06-10,,,,RANDOMIZED,SINGLE
NCT01106079,COMPLETED,PHASE3,,,INTERVENTIONAL,,206.0,2008-05,2013-01,2012-07,,18 Years,,RANDOMIZED,NONE
NCT00615979,COMPLETED,,,,OBSERVATIONAL,,120.0,2002-10,2009-05,2008-12,,18 Years,80 Years,,
NCT07065279,RECRUITING,NA,,,INTERVENTIONAL,,36.0,2025-07,2027-12,2027-12,,2 Years,75 Years,NA,NONE
NCT05617079,ACTIVE_NOT_RECRUITING,,,,OBSERVATIONAL,,370.0,2023-07-01,2025-07-31,2024-06-30,,18 Years,,,
NCT02975479,COMPLETED,PHASE2|PHASE3,,,INTERVENTIONAL,,40.0,2016-05,2022-06-20,2022-06-20,,18 Years,55 Years,RANDOMIZED,QUADRUPLE
NCT03321279,COMPLETED,NA,,,INTERVENTIONAL,,233.0,2018-01-11,2019-09-09,2019-09-09,,18 Years,,RANDOMIZED,DOUBLE
NCT05804279,COMPLETED,PHASE1,,,INTERVENTIONAL,,24.0,2022-12-28,2023-03-14,2023-02-21,,19 Years,55 Years,RANDOMIZED,NONE
NCT04171479,COMPLETED,,,,OBSERVATIONAL,,40.0,2020-10-02,2023-03-30,2023-03-30,,18 Years,,,
NCT04930679,COMPLETED,PHASE1,,,INTERVENTIONAL,,14.0,2018-11-24,2019-02-22,2019-02-22,,18 Years,65 Years,RANDOMIZED,NONE
NCT01255579,COMPLETED,PHASE4,,,INTERVENTIONAL,,10.0,2007-07,,2008-12,,18 Years,,RANDOMIZED,DOUBLE
NCT03279679,UNKNOWN,NA,,,INTERVENTIONAL,,50.0,2017-10,2018-07,2018-06,,18 Years,70 Years,RANDOMIZED,DOUBLE
NCT03690479,COMPLETED,NA,,,INTERVENTIONAL,,21.0,2013-04-04,2017-12-14,2014-09-06,,18 Years,,RANDOMIZED,SINGLE
NCT04023279,COMPLETED,NA,,,INTERVENTIONAL,,32.0,2018-09-24,2018-12-20,2018-10-22,,30 Years,50 Years,RANDOMIZED,TRIPLE
NCT01009879,WITHDRAWN,PHASE4,,,INTERVENTIONAL,,,2009-11,2012-02,2012-02,,18 Years,,NA,NONE
NCT04088279,UNKNOWN,NA,,,INTERVENTIONAL,,50.0,2018-11-19,2021-06,2020-12,,18 Years,,NA,NONE
NCT07054879,RECRUITING,,,,OBSERVATIONAL,,70.0,2024-11-01,2027-01-01,2025-12-31,,18 Years,,,
NCT06246279,COMPLETED,NA,,,INTERVENTIONAL,,58.0,2022-04-01,2024-04-30,2024-04-30,,12 Years,18 Years,RANDOMIZED,DOUBLE
NCT06881979,RECRUITING,NA,,,INTERVENTIONAL,,60.0,2025-04-28,2026-03,2026-03,,18 Years,80 Years,RANDOMIZED,DOUBLE
NCT00540579,COMPLETED,PHASE1|PHASE2,,,INTERVENTIONAL,,23.0,2007-11,2011-01,2008-12,,18 Years,,NA,NONE
NCT05399979,COMPLETED,,,,OBSERVATIONAL,,1077.0,2021-06-09,2022-05-05,2022-05-05,,18 Years,,,
NCT02268279,COMPLETED,PHASE1,,,INTERVENTIONAL,,84.0,2015-01,2016-10,2016-10,,,17 Years,NA,NONE
NCT03239379,COMPLETED,PHASE1,,,INTERVENTIONAL,,32.0,2017-10-30,2018-03-08,2018-02-15,,18 Years,55 Years,RANDOMIZED,TRIPLE
NCT04909879,WITHDRAWN,PHASE2,,,INTERVENTIONAL,,,2021-09,2022-04,2022-02,,18 Years,,RANDOMIZED,QUADRUPLE
NCT00251979,COMPLETED,PHASE3,,,INTERVENTIONAL,,1312.0,2005-10,2007-12,2007-12,,18 Years,,RANDOMIZED,DOUBLE
NCT02539979,UNKNOWN,NA,,,INTERVENTIONAL,,50.0,2015-08,,2016-10,,18 Years,99 Years,RANDOMIZED,QUADRUPLE
NCT03500679,COMPLETED,PHASE2,,,INTERVENTIONAL,,100.0,2018-05-09,2019-06-11,2018-11-05,,18 Years,,RANDOMIZED,DOUBLE
NCT06239779,COMPLETED,NA,,,INTERVENTIONAL,,90.0,2024-01-19,2024-06-24,2024-06-19,,20 Years,50 Years,RANDOMIZED,DOUBLE
NCT03400579,COMPLETED,NA,,,INTERVENTIONAL,,10.0,2018-07-10,2019-10-01,2019-09-30,,18 Years,100 Years,NA,NONE
NCT02642679,COMPLETED,NA,,,INTERVENTIONAL,,19.0,2016-01,2016-12,2016-10,,18 Years,,NA,NONE
NCT02861079,COMPLETED,PHASE2,,,INTERVENTIONAL,,300.0,2017-08-25,2017-12-25,2017-12-25,,18 Years,40 Years,RANDOMIZED,NONE
NCT01286779,COMPLETED,PHASE3,,,INTERVENTIONAL,,117.0,2011-04-12,2017-06-29,2017-06-29,,,65 Years,NA,NONE
NCT02272179,COMPLETED,PHASE1,,,INTERVENTIONAL,,68.0,2014-02,2017-11,2017-07,,12 Years,17 Years,RANDOMIZED,SINGLE
NCT00976079,COMPLETED,NA,,,INTERVENTIONAL,,49.0,2007-11,2009-08,2009-05,,18 Years,80 Years,RANDOMIZED,SINGLE
NCT02016079,COMPLETED,PHASE2|PHASE3,,,INTERVENTIONAL,,200.0,2010-03,2011-12,2011-12,,8 Years,16 Years,RANDOMIZED,QUADRUPLE
NCT03908879,COMPLETED,NA,,,INTERVENTIONAL,,34.0,2019-07-23,2022-05-01,2022-05-01,,18 Years,,NA,NONE
NCT01627379,TERMINATED,PHASE3,,,INTERVENTIONAL,,300.0,2012-05,2017-05,2015-05,,18 Years,,RANDOMIZED,NONE
NCT01483079,ACTIVE_NOT_RECRUITING,,,,OBSERVATIONAL,,51.0,2011-12,2026-02,2026-02,,,,,
NCT01449279,COMPLETED,PHASE2,,,INTERVENTIONAL,,22.0,2011-10,2016-12-01,2015-12-31,,18 Years,,NA,NONE
NCT01199679,TERMINATED,NA,,,INTERVENTIONAL,,10.0,2011-06,2013-03,2012-09,,18 Years,,RANDOMIZED,SINGLE
NCT03065179,COMPLETED,PHASE2,,,INTERVENTIONAL,,29.0,2017-03-01,2020-11-17,2020-02-20,,,,NA,NONE
NCT05064579,COMPLETED,,,,OBSERVATIONAL,,307.0,2022-01-18,2023-01-30,2023-01-30,,8 Years,,,
NCT01250379,COMPLETED,PHASE3,,,INTERVENTIONAL,,494.0,2011-02,2015-03,2013-12,,18 Years,,RANDOMIZED,NONE
NCT03678779,COMPLETED,NA,,,INTERVENTIONAL,,17.0,2016-03,2016-08,2016-08,,18 Years,,RANDOMIZED,NONE
NCT03435679,ACTIVE_NOT_RECRUITING,NA,,,INTERVENTIONAL,,97.0,2018-03-01,2026-11-18,2025-11-18,,,,RANDOMIZED,NONE
NCT00554879,COMPLETED,NA,,,INTERVENTIONAL,,20.0,2007-11,2011-02,2011-02,,18 Years,,RANDOMIZED,TRIPLE
NCT02000479,COMPLETED,NA,,,INTERVENTIONAL,,29.0,2011-04,2011-10,2011-06,,,,RANDOMIZED,NONE
NCT01568879,COMPLETED,NA,,,INTERVENTIONAL,,104.0,2012-01,2014-11,2014-11,,21 Years,80 Years,RANDOMIZED,NONE
NCT03386279,COMPLETED,PHASE1,,,INTERVENTIONAL,,36.0,2018-07-02,2018-10-01,2018-10-01,,18 Years,55 Years,RANDOMIZED,QUADRUPLE
NCT02017379,TERMINATED,NA,,,INTERVENTIONAL,,4.0,2014-06,2014-09,2014-09,,18 Years,80 Years,RANDOMIZED,DOUBLE
NCT00667979,COMPLETED,PHASE4,,,INTERVENTIONAL,,264.0,2004-09,2004-12,,,18 Years,64 Years,RANDOMIZED,DOUBLE
NCT02019979,TERMINATED,PHASE2,,,INTERVENTIONAL,,14.0,2013-12,2016-12,2016-12,,18 Years,,NA,NONE
NCT04161079,COMPLETED,,,,OBSERVATIONAL,,12.0,2019-11-08,2020-01-29,2020-01-29,,18 Years,85 Years,,
NCT05659979,UNKNOWN,NA,,,INTERVENTIONAL,,30.0,2023-01-01,2024-01-01,2024-01-01,,70 Years,,RANDOMIZED,DOUBLE
NCT06971679,COMPLETED,NA,,,INTERVENTIONAL,,70.0,2024-10-07,2025-01-20,2025-01-20,,,,RANDOMIZED,NONE
NCT05661279,RECRUITING,NA,,,INTERVENTIONAL,,84.0,2022-12-30,2023-10-30,2023-10-02,,21 Years,60 Years,RANDOMIZED,TRIPLE
NCT02247479,TERMINATED,PHASE3,,,INTERVENTIONAL,,906.0,2014-09-18,2018-01-29,2018-01-29,,50 Years,,RANDOMIZED,QUADRUPLE
NCT03721679,TERMINATED,PHASE1|PHASE2,,,INTERVENTIONAL,,7.0,2018-09-25,2021-01-26,2021-01-26,,18 Years,,NA,NONE
NCT04600479,COMPLETED,NA,,,INTERVENTIONAL,,796.0,2020-11-26,2023-03-24,2023-03-24,,15 Years,,NA,NONE
NCT05394779,COMPLETED,NA,,,INTERVENTIONAL,,246.0,2022-08-23,2024-05-30,2023-12-18,,18 Years,65 Years,RANDOMIZED,NONE
NCT01233479,WITHDRAWN,NA,,,INTERVENTIONAL,,,2010-05,2017-08-24,2011-07,,4 Years,21 Years,,NONE
NCT01366079,COMPLETED,NA,,,INTERVENTIONAL,,1072.0,2011-07,2015-03,2014-03,,45 Years,,RANDOMIZED,NONE
NCT00911079,TERMINATED,NA,,,INTERVENTIONAL,,13.0,2009-12-18,2020-07-23,2020-07-23,,18 Years,,NA,NONE
NCT03999879,COMPLETED,,,,OBSERVATIONAL,,37.0,2019-05-01,2023-02-24,2023-02-24,,70 Years,85 Years,,
NCT06585579,NOT_YET_RECRUITING,NA,,,INTERVENTIONAL,,144.0,2024-10,2025-11,2025-08,,18 Years,,RANDOMIZED,NONE
NCT02790879,UNKNOWN,,,,OBSERVATIONAL,,300.0,2015-10,2016-10,2016-10,,15 Years,,,
NCT06750679,ACTIVE_NOT_RECRUITING,NA,,,INTERVENTIONAL,,58.0,2024-11-01,2026-11-01,2026-11-01,,18 Years,,RANDOMIZED,SINGLE
NCT03869879,UNKNOWN,NA,,,INTERVENTIONAL,,300.0,2019-07-24,2021-05-30,2021-05-30,,60 Years,89 Years,RANDOMIZED,DOUBLE
NCT02835079,COMPLETED,PHASE1,,,INTERVENTIONAL,,19.0,2016-11,2020-11,2020-11,,5 Years,16 Years,NA,NONE
NCT02088879,COMPLETED,NA,,,INTERVENTIONAL,,36.0,2014-03,2014-04,2014-04,,18 Years,60 Years,RANDOMIZED,SINGLE
NCT05175079,COMPLETED,NA,,,INTERVENTIONAL,,90.0,2016-10-01,2017-08-31,2017-08-31,,18 Years,50 Years,RANDOMIZED,NONE
NCT05410379,COMPLETED,,,,OBSERVATIONAL,,30.0,2021-09-15,2023-03-15,2023-03-15,,18 Years,,,
NCT02823379,COMPLETED,NA,,,INTERVENTIONAL,,62.0,2015-09,2020-06,2020-06,,24 Years,49 Years,RANDOMIZED,NONE
NCT00631579,COMPLETED,PHASE2,,,INTERVENTIONAL,,50.0,2003-04,2004-06,2004-06,,18 Years,74 Years,RANDOMIZED,NONE
NCT05346679,COMPLETED,,,,OBSERVATIONAL,,100.0,2021-03-01,2022-02-28,2021-10-30,,18 Years,50 Years,,
NCT01871779,COMPLETED,NA,,,INTERVENTIONAL,,35.0,2010-10,2013-02,2012-12,,,,RANDOMIZED,NONE
NCT03724279,COMPLETED,NA,,,INTERVENTIONAL,,42.0,2018-09-24,2019-10-09,2019-07-01,,18 Years,,NA,NONE
NCT03189979,COMPLETED,NA,,,INTERVENTIONAL,,61.0,2015-10,2016-05,2016-05,,8 Years,17 Years,NA,NONE
NCT05880979,COMPLETED,NA,,,INTERVENTIONAL,,102.0,2023-07-01,2024-12-01,2024-11-01,,11 Years,,RANDOMIZED,SINGLE
NCT01901679,COMPLETED,EARLY_PHASE1,,,INTERVENTIONAL,,10.0,2013-07,2014-08,2014-08,,40 Years,70 Years,NA,NONE
NCT02212379,COMPLETED,PHASE2,,,INTERVENTIONAL,,170.0,2015-01,2018-04,2017-10,,45 Years,,NA,NONE
NCT05195879,COMPLETED,PHASE1,,,INTERVENTIONAL,,10.0,2021-03-23,2021-07-30,2021-07-30,,18 Years,40 Years,NA,NONE
NCT01056679,COMPLETED,PHASE1,,,INTERVENTIONAL,,30.0,2010-04,2016-02,2014-04,,60 Years,75 Years,NA,NONE
NCT05073679,TERMINATED,PHASE2|PHASE3,,,INTERVENTIONAL,,10.0,2022-04-22,2024-05-21,2024-05-21,,13 Years,25 Years,RANDOMIZED,TRIPLE
NCT05097079,WITHDRAWN,PHASE3,,,INTERVENTIONAL,,,2021-11,2023-05,2023-05,,3 Years,17 Years,RANDOMIZED,QUADRUPLE
NCT02335879,COMPLETED,PHASE3,,,INTERVENTIONAL,,534.0,2008-05,,2009-08,,21 Years,38 Years,NA,DOUBLE
NCT04675879,COMPLETED,NA,,,INTERVENTIONAL,,120.0,2020-12-01,2023-02-23,2023-02-23,,18 Years,,RANDOMIZED,DOUBLE
NCT02611479,COMPLETED,,,,OBSERVATIONAL,,184.0,2015-04,2018-06,2017-08,,18 Years,,,
NCT00565279,COMPLETED,PHASE3,,,INTERVENTIONAL,,300.0,2007-12,2008-06,2008-05,,18 Years,,RANDOMIZED,DOUBLE
NCT02806479,COMPLETED,,,,OBSERVATIONAL,,40.0,2016-09,2020-09,2020-09,,18 Years,99 Years,,
NCT06247579,COMPLETED,NA,,,INTERVENTIONAL,,15.0,2024-01-01,2024-05-01,2024-04-25,,20 Years,30 Years,NON_RANDOMIZED,NONE
NCT01445379,COMPLETED,PHASE1,,,INTERVENTIONAL,,33.0,2007-10-01,2015-11-13,2014-04-18,,3 Years,21 Years,NON_RANDOMIZED,NONE
NCT00644579,UNKNOWN,PHASE2,,,INTERVENTIONAL,,120.0,2008-03,2009-02,2008-12,,18 Years,,RANDOMIZED,QUADRUPLE
NCT00686179,COMPLETED,PHASE1,,,INTERVENTIONAL,,75.0,2008-01,2008-08,2008-08,,20 Years,60 Years,RANDOMIZED,DOUBLE
NCT06196879,ACTIVE_NOT_RECRUITING,PHASE2,,,INTERVENTIONAL,,479.0,2024-02-27,2026-06-11,2026-02-19,,18 Years,80 Years,RANDOMIZED,QUADRUPLE
NCT02081079,COMPLETED,PHASE2,,,INTERVENTIONAL,,85.0,2014-03,2015-02,2014-11,,18 Years,,NON_RANDOMIZED,NONE
NCT00276679,COMPLETED,PHASE2,,,INTERVENTIONAL,,,2003-04,2006-11,,,1 Year,16 Years,NON_RANDOMIZED,NONE
NCT01607879,COMPLETED,PHASE2,,,INTERVENTIONAL,,48.0,2014-03,2021-02-16,2018-07,,60 Years,,RANDOMIZED,NONE
NCT06855979,COMPLETED,NA,,,INTERVENTIONAL,,50.0,2025-01-15,2025-02-15,2025-02-15,,20 Years,50 Years,NA,NONE
NCT04666779,COMPLETED,,,,OBSERVATIONAL,,399.0,2020-12-18,2021-09-15,2021-02-21,,16 Years,,,
NCT06649279,COMPLETED,,,,OBSERVATIONAL,,64.0,2024-01-01,2024-08-01,2024-08-01,,18 Years,75 Years,,
NCT01953679,COMPLETED,PHASE2,,,INTERVENTIONAL,,180.0,2014-03,2015-11,2015-08,,18 Years,35 Years,RANDOMIZED,TRIPLE
NCT04456179,COMPLETED,NA,,,INTERVENTIONAL,,6.0,2020-02-03,2020-02-06,2020-02-06,,18 Years,,NON_RANDOMIZED,NONE
NCT06460779,COMPLETED,,,,OBSERVATIONAL,,100.0,2024-05-28,2024-08-05,2024-08-01,,6 Years,12 Years,,
NCT00310479,COMPLETED,NA,,,INTERVENTIONAL,,16.0,2006-06,2008-03,2008-03,,40 Years,,NA,NONE
NCT05630079,COMPLETED,,,,OBSERVATIONAL,,15.0,2021-02-22,2022-02-22,2021-07-31,,18 Years,,,
NCT04228679,COMPLETED,NA,,,INTERVENTIONAL,,106.0,2020-04-01,2022-03-31,2022-01-01,,30 Years,55 Years,RANDOMIZED,SINGLE
NCT05774379,COMPLETED,NA,,,INTERVENTIONAL,,41.0,2022-04-01,2023-02-10,2023-02-01,,7 Years,18 Years,RANDOMIZED,SINGLE
NCT06541379,NOT_YET_RECRUITING,,,,OBSERVATIONAL,,30.0,2025-06-01,2026-09-21,2025-09-01,,22 Years,65 Years,,
NCT04261179,UNKNOWN,PHASE4,,,INTERVENTIONAL,,30.0,2020-03,2021-08,2021-02,,18 Years,,NA,NONE
NCT06922279,ACTIVE_NOT_RECRUITING,NA,,,INTERVENTIONAL,,108.0,2024-11-30,2029-11-30,2029-10-30,,18 Years,,RANDOMIZED,NONE
NCT03612479,COMPLETED,NA,,,INTERVENTIONAL,,46.0,2018-07-10,2020-11-16,2020-11-09,,3 Years,5 Years,RANDOMIZED,SINGLE
NCT04155879,UNKNOWN,NA,,,INTERVENTIONAL,,300.0,2019-11,2022-11,2022-11,,18 Years,,RANDOMIZED,DOUBLE
NCT04934579,COMPLETED,PHASE2,,,INTERVENTIONAL,,17.0,2020-01-01,2022-11-15,2022-10-15,,18 Years,75 Years,NA,NONE
NCT00095979,COMPLETED,PHASE2,,,INTERVENTIONAL,,52.0,2005-05,2009-07,2009-07,,,,NA,NONE
NCT05438979,RECRUITING,NA,,,INTERVENTIONAL,,300.0,2022-07-01,2024-12-31,2024-06-30,,40 Years,65 Years,RANDOMIZED,DOUBLE
NCT02108379,COMPLETED,NA,,,INTERVENTIONAL,,1073.0,2014-05,2014-07,2014-07,,18 Years,65 Years,NA,NONE
NCT06146179,COMPLETED,,,,OBSERVATIONAL,,8.0,2023-11-01,2024-05-30,2024-03-30,,18 Years,80 Years,,
NCT04132479,COMPLETED,PHASE4,,,INTERVENTIONAL,,313.0,2018-01-01,2019-04-09,2018-12-31,,12 Years,,RANDOMIZED,NONE
NCT06494579,RECRUITING,PHASE1|PHASE2,,,INTERVENTIONAL,,24.0,2024-09-30,2027-07-15,2027-07-15,,18 Years,,NA,NONE
NCT01815879,UNKNOWN,,,,OBSERVATIONAL,,1000.0,2012-12,,2013-06,,18 Years,,,
NCT00922779,COMPLETED,PHASE4,,,INTERVENTIONAL,,6661.0,2002-06,2012-06,2012-06,,18 Years,,NA,NONE
NCT02650479,COMPLETED,PHASE1,,,INTERVENTIONAL,,82.0,2016-01,2016-04,2016-04,,18 Years,65 Years,RANDOMIZED,QUADRUPLE
NCT05466279,COMPLETED,NA,,,INTERVENTIONAL,,131.0,2021-01-07,2023-10-30,2023-10-30,,65 Years,,RANDOMIZED,SINGLE
NCT06650579,RECRUITING,PHASE3,,,INTERVENTIONAL,,72.0,2025-01-31,2029-07-01,2029-07-01,,18 Years,,RANDOMIZED,DOUBLE
NCT05389579,COMPLETED,NA,,,INTERVENTIONAL,,46.0,2013-11-01,2015-04-08,2014-05-01,,60 Years,79 Years,RANDOMIZED,NONE
NCT05102279,ACTIVE_NOT_RECRUITING,NA,,,INTERVENTIONAL,,10.0,2021-12-23,2024-12-30,2024-07-31,,20 Years,45 Years,RANDOMIZED,SINGLE
NCT04991779,WITHDRAWN,,,,OBSERVATIONAL,,,2022-03-16,2022-05-16,2022-05-16,,0 Days,28 Days,,
NCT00000579,COMPLETED,PHASE3,,,INTERVENTIONAL,,,1994-09,2004-07,,,13 Years,,,
NCT05802979,UNKNOWN,PHASE3,,,INTERVENTIONAL,,80.0,2023-01-01,2023-12,2023-09,,30 Years,65 Years,RANDOMIZED,TRIPLE
NCT06053879,COMPLETED,NA,,,INTERVENTIONAL,,30.0,2023-05-10,2023-09-05,2023-09-05,,10 Years,13 Years,NA,NONE
NCT06215079,RECRUITING,NA,,,INTERVENTIONAL,,45.0,2023-11-15,2024-12-15,2024-04-15,,18 Years,80 Years,RANDOMIZED,NONE
NCT02307279,COMPLETED,NA,,,INTERVENTIONAL,,436.0,2014-11,2017-06,2017-06,,22 Years,65 Years,RANDOMIZED,QUADRUPLE
NCT01679379,COMPLETED,NA,,,INTERVENTIONAL,,200.0,2012-07,2013-05,2013-04,,18 Years,35 Years,RANDOMIZED,DOUBLE
NCT01694979,COMPLETED,,,,OBSERVATIONAL,,18.0,2012-02,2012-02,2012-02,,18 Years,35 Years,,
NCT06677879,RECRUITING,PHASE2,,,INTERVENTIONAL,,780.0,2024-08-01,2028-07-31,2026-07-31,,18 Years,80 Years,NON_RANDOMIZED,NONE
NCT04544579,UNKNOWN,,,,OBSERVATIONAL,,200.0,2020-10-01,2022-09-30,2022-09-01,,18 Years,100 Years,,
NCT04388579,COMPLETED,,,,OBSERVATIONAL,,100.0,2020-03-20,2020-03-27,2020-03-27,,18 Years,88 Years,,
NCT01986179,COMPLETED,NA,,,INTERVENTIONAL,,208.0,2014-02,2014-08,2014-08,,1 Day,18 Years,RANDOMIZED,SINGLE
NCT04855279,COMPLETED,NA,,,INTERVENTIONAL,,64.0,2019-01-07,2019-07-26,2019-06-28,,18 Years,40 Years,RANDOMIZED,TRIPLE
NCT02598479,WITHDRAWN,,,,OBSERVATIONAL,,,2015-11,2018-08,2018-08,,18 Years,,,
NCT02944279,COMPLETED,,,,OBSERVATIONAL,,500.0,2011-01,2014-08,2014-08,,18 Years,,,
NCT04980079,UNKNOWN,NA,,,INTERVENTIONAL,,60.0,2021-04-01,2021-12-30,2021-11-15,,1 Year,12 Years,RANDOMIZED,NONE
NCT01050179,UNKNOWN,PHASE1,,,INTERVENTIONAL,,20.0,2010-02,2010-10,2010-10,,18 Years,80 Years,NON_RANDOMIZED,NONE
NCT00043979,COMPLETED,PHASE2,,,INTERVENTIONAL,,60.0,2002-09-19,2011-12-14,2009-05-01,,5 Years,35 Years,NON_RANDOMIZED,NONE
NCT00266279,COMPLETED,PHASE2,,,INTERVENTIONAL,,17.0,2005-04,2009-10,2009-10,,18 Years,,NA,NONE
NCT03044379,WITHDRAWN,PHASE1,,,INTERVENTIONAL,,,2015-09-29,2017-11,2017-09,,18 Years,45 Years,RANDOMIZED,DOUBLE
NCT06133179,RECRUITING,NA,,,INTERVENTIONAL,,20.0,2024-03-22,2025-02,2025-02,,18 Years,,NA,NONE
NCT00995579,COMPLETED,,,,OBSERVATIONAL,,20.0,2008-11,2009-02,2009-02,,18 Years,30 Years,,
NCT00465179,COMPLETED,PHASE2,,,INTERVENTIONAL,,61.0,2007-03,2015-03,2015-03,,,,NA,NONE
NCT04957979,COMPLETED,,,,OBSERVATIONAL,,25507.0,2021-06-14,2024-04-30,2024-04-30,,18 Years,,,
NCT00010179,COMPLETED,PHASE2,,,INTERVENTIONAL,,81.0,2000-10-31,2008-09-22,2002-10-22,,18 Years,120 Years,RANDOMIZED,NONE
NCT01761279,COMPLETED,,,,OBSERVATIONAL,,84.0,2011-05,2012-05,2012-05,,60 Years,74 Years,,
NCT06563479,RECRUITING,PHASE3,,,INTERVENTIONAL,,291.0,2024-08-19,2027-08,2027-08,,18 Years,,RANDOMIZED,DOUBLE
NCT00298779,COMPLETED,PHASE1,,,INTERVENTIONAL,,20.0,,,,,18 Years,,RANDOMIZED,NONE
NCT05607979,COMPLETED,PHASE2|PHASE3,,,INTERVENTIONAL,,75.0,2022-12-15,2024-05-01,2024-05-01,,18 Years,,RANDOMIZED,TRIPLE
NCT05992779,UNKNOWN,,,,OBSERVATIONAL,,150.0,2023-04-03,2023-10-31,2023-05-03,,80 Years,,,
NCT02227979,COMPLETED,NA,,,INTERVENTIONAL,,42.0,2013-09,2016-02,2016-02,,18 Years,,NON_RANDOMIZED,NONE
NCT00253279,UNKNOWN,,,,OBSERVATIONAL,,64.0,2009-11,2010-01,2010-01,,18 Years,70 Years,,
NCT00859079,COMPLETED,PHASE4,,,INTERVENTIONAL,,8.0,2006-06,2007-01,2006-12,,18 Years,70 Years,RANDOMIZED,NONE
NCT05119179,RECRUITING,PHASE4,,,INTERVENTIONAL,,300.0,2021-11-22,2026-07,2025-11,,18 Years,,NA,NONE
NCT04720079,COMPLETED,NA,,,INTERVENTIONAL,,63.0,2020-11-15,2022-02-15,2022-02-15,,18 Years,,NON_RANDOMIZED,NONE
NCT00368979,COMPLETED,PHASE3,,,INTERVENTIONAL,,378.0,2006-02-17,2007-12-06,2007-12-01,,50 Years,,RANDOMIZED,DOUBLE
